travelCode,userCode,name,place,days,price,total
24060,236,Hotel AU,Recife (PE),4,312.83,1251.32
24065,236,Hotel BW,Campo Grande (MS),2,60.39,120.78
24067,236,Hotel AU,Recife (PE),3,312.83,938.49
24070,236,Hotel K,Salvador (BH),2,263.41,526.82
24072,236,Hotel AF,Sao Paulo (SP),4,139.1,556.4
24073,236,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
24074,236,Hotel AU,Recife (PE),1,312.83,312.83
24075,236,Hotel AU,Recife (PE),1,312.83,312.83
24079,236,Hotel BP,Brasilia (DF),4,247.62,990.48
24081,236,Hotel K,Salvador (BH),1,263.41,263.41
24086,236,Hotel K,Salvador (BH),4,263.41,1053.64
24088,236,Hotel Z,Aracaju (SE),1,208.04,208.04
24090,236,Hotel BW,Campo Grande (MS),2,60.39,120.78
24091,236,Hotel K,Salvador (BH),2,263.41,526.82
24093,236,Hotel AF,Sao Paulo (SP),3,139.1,417.3
24099,236,Hotel AF,Sao Paulo (SP),2,139.1,278.2
24106,236,Hotel BW,Campo Grande (MS),1,60.39,60.39
24116,236,Hotel BD,Natal (RN),1,242.88,242.88
24120,236,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
24121,236,Hotel BD,Natal (RN),3,242.88,728.64
24123,236,Hotel BW,Campo Grande (MS),3,60.39,181.17
24125,236,Hotel A,Florianopolis (SC),1,313.02,313.02
24126,236,Hotel A,Florianopolis (SC),3,313.02,939.06
24134,236,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
24136,236,Hotel Z,Aracaju (SE),4,208.04,832.16
24137,236,Hotel K,Salvador (BH),3,263.41,790.23
24140,236,Hotel BW,Campo Grande (MS),4,60.39,241.56
24141,236,Hotel AU,Recife (PE),2,312.83,625.66
24148,236,Hotel A,Florianopolis (SC),3,313.02,939.06
24155,236,Hotel K,Salvador (BH),2,263.41,526.82
24157,236,Hotel A,Florianopolis (SC),1,313.02,313.02
24163,236,Hotel BW,Campo Grande (MS),4,60.39,241.56
24165,236,Hotel K,Salvador (BH),2,263.41,526.82
24166,236,Hotel BP,Brasilia (DF),4,247.62,990.48
24167,236,Hotel AF,Sao Paulo (SP),1,139.1,139.1
24173,237,Hotel BP,Brasilia (DF),3,247.62,742.86
24174,237,Hotel AF,Sao Paulo (SP),4,139.1,556.4
24176,237,Hotel AU,Recife (PE),3,312.83,938.49
24178,237,Hotel A,Florianopolis (SC),3,313.02,939.06
24183,237,Hotel BD,Natal (RN),1,242.88,242.88
24187,237,Hotel BD,Natal (RN),3,242.88,728.64
24188,237,Hotel BD,Natal (RN),2,242.88,485.76
24193,237,Hotel K,Salvador (BH),4,263.41,1053.64
24194,237,Hotel BD,Natal (RN),2,242.88,485.76
24196,237,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
24198,237,Hotel AF,Sao Paulo (SP),4,139.1,556.4
24200,237,Hotel BW,Campo Grande (MS),2,60.39,120.78
24205,237,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
24206,237,Hotel AF,Sao Paulo (SP),4,139.1,556.4
24208,237,Hotel BW,Campo Grande (MS),3,60.39,181.17
24212,237,Hotel BD,Natal (RN),4,242.88,971.52
24213,237,Hotel A,Florianopolis (SC),4,313.02,1252.08
24225,237,Hotel AF,Sao Paulo (SP),1,139.1,139.1
24229,237,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
24232,237,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
24233,237,Hotel Z,Aracaju (SE),1,208.04,208.04
24235,237,Hotel AF,Sao Paulo (SP),2,139.1,278.2
24236,237,Hotel BP,Brasilia (DF),3,247.62,742.86
24238,237,Hotel AF,Sao Paulo (SP),3,139.1,417.3
24240,237,Hotel K,Salvador (BH),4,263.41,1053.64
24244,237,Hotel A,Florianopolis (SC),1,313.02,313.02
24246,237,Hotel BP,Brasilia (DF),3,247.62,742.86
24247,237,Hotel AU,Recife (PE),1,312.83,312.83
24252,237,Hotel AU,Recife (PE),3,312.83,938.49
24254,237,Hotel AU,Recife (PE),3,312.83,938.49
24255,237,Hotel Z,Aracaju (SE),3,208.04,624.12
24262,237,Hotel AU,Recife (PE),2,312.83,625.66
24265,237,Hotel BW,Campo Grande (MS),3,60.39,181.17
24268,237,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
24272,237,Hotel BW,Campo Grande (MS),2,60.39,120.78
24277,237,Hotel Z,Aracaju (SE),2,208.04,416.08
24281,237,Hotel Z,Aracaju (SE),1,208.04,208.04
24285,237,Hotel K,Salvador (BH),2,263.41,526.82
24287,237,Hotel BW,Campo Grande (MS),3,60.39,181.17
24289,237,Hotel A,Florianopolis (SC),2,313.02,626.04
24290,237,Hotel AU,Recife (PE),3,312.83,938.49
24293,237,Hotel BP,Brasilia (DF),4,247.62,990.48
24297,237,Hotel BW,Campo Grande (MS),4,60.39,241.56
24299,237,Hotel BP,Brasilia (DF),4,247.62,990.48
24301,237,Hotel BW,Campo Grande (MS),4,60.39,241.56
24303,237,Hotel AU,Recife (PE),2,312.83,625.66
24305,237,Hotel BW,Campo Grande (MS),3,60.39,181.17
24308,237,Hotel BW,Campo Grande (MS),3,60.39,181.17
24311,237,Hotel BW,Campo Grande (MS),1,60.39,60.39
24312,237,Hotel BW,Campo Grande (MS),4,60.39,241.56
24316,237,Hotel BW,Campo Grande (MS),3,60.39,181.17
24317,237,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
24320,237,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
24322,237,Hotel BD,Natal (RN),2,242.88,485.76
24323,237,Hotel AF,Sao Paulo (SP),3,139.1,417.3
24326,237,Hotel BP,Brasilia (DF),2,247.62,495.24
24327,237,Hotel BD,Natal (RN),2,242.88,485.76
24341,237,Hotel BP,Brasilia (DF),3,247.62,742.86
24344,237,Hotel A,Florianopolis (SC),1,313.02,313.02
24351,238,Hotel Z,Aracaju (SE),3,208.04,624.12
24353,238,Hotel BP,Brasilia (DF),2,247.62,495.24
24354,238,Hotel AF,Sao Paulo (SP),1,139.1,139.1
24357,238,Hotel BP,Brasilia (DF),2,247.62,495.24
24363,238,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
24367,238,Hotel Z,Aracaju (SE),3,208.04,624.12
24379,238,Hotel Z,Aracaju (SE),1,208.04,208.04
24381,238,Hotel AU,Recife (PE),4,312.83,1251.32
24385,238,Hotel AF,Sao Paulo (SP),3,139.1,417.3
24396,238,Hotel BW,Campo Grande (MS),1,60.39,60.39
24402,238,Hotel K,Salvador (BH),2,263.41,526.82
24409,238,Hotel BW,Campo Grande (MS),1,60.39,60.39
24413,238,Hotel Z,Aracaju (SE),4,208.04,832.16
24414,238,Hotel BD,Natal (RN),1,242.88,242.88
24417,238,Hotel K,Salvador (BH),2,263.41,526.82
24420,238,Hotel BD,Natal (RN),4,242.88,971.52
24422,239,Hotel Z,Aracaju (SE),3,208.04,624.12
24427,239,Hotel AF,Sao Paulo (SP),3,139.1,417.3
24428,239,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
24429,239,Hotel BW,Campo Grande (MS),1,60.39,60.39
24433,239,Hotel K,Salvador (BH),2,263.41,526.82
24450,239,Hotel AF,Sao Paulo (SP),1,139.1,139.1
24452,239,Hotel AF,Sao Paulo (SP),4,139.1,556.4
24453,239,Hotel BP,Brasilia (DF),3,247.62,742.86
24465,239,Hotel BW,Campo Grande (MS),1,60.39,60.39
24466,239,Hotel Z,Aracaju (SE),4,208.04,832.16
24477,239,Hotel BW,Campo Grande (MS),3,60.39,181.17
24479,239,Hotel BP,Brasilia (DF),3,247.62,742.86
24483,239,Hotel Z,Aracaju (SE),3,208.04,624.12
24487,239,Hotel BD,Natal (RN),2,242.88,485.76
24492,239,Hotel AF,Sao Paulo (SP),4,139.1,556.4
24499,239,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
24500,239,Hotel BP,Brasilia (DF),1,247.62,247.62
24512,239,Hotel BW,Campo Grande (MS),1,60.39,60.39
24515,239,Hotel BD,Natal (RN),1,242.88,242.88
24522,239,Hotel BP,Brasilia (DF),2,247.62,495.24
24524,239,Hotel A,Florianopolis (SC),3,313.02,939.06
24531,239,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
24532,239,Hotel K,Salvador (BH),2,263.41,526.82
24535,239,Hotel BW,Campo Grande (MS),2,60.39,120.78
24536,239,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
24537,239,Hotel BD,Natal (RN),4,242.88,971.52
24538,239,Hotel Z,Aracaju (SE),4,208.04,832.16
24540,239,Hotel BD,Natal (RN),4,242.88,971.52
24542,239,Hotel AF,Sao Paulo (SP),2,139.1,278.2
24546,239,Hotel A,Florianopolis (SC),1,313.02,313.02
24549,239,Hotel Z,Aracaju (SE),4,208.04,832.16
24550,239,Hotel AU,Recife (PE),3,312.83,938.49
24551,239,Hotel BD,Natal (RN),3,242.88,728.64
24553,239,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
24560,239,Hotel BD,Natal (RN),2,242.88,485.76
24563,239,Hotel BW,Campo Grande (MS),2,60.39,120.78
24570,239,Hotel BW,Campo Grande (MS),3,60.39,181.17
24573,239,Hotel BW,Campo Grande (MS),1,60.39,60.39
24574,239,Hotel BW,Campo Grande (MS),2,60.39,120.78
24575,239,Hotel BD,Natal (RN),4,242.88,971.52
24577,239,Hotel BD,Natal (RN),2,242.88,485.76
24579,239,Hotel BP,Brasilia (DF),4,247.62,990.48
24581,239,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
24584,239,Hotel Z,Aracaju (SE),3,208.04,624.12
24586,239,Hotel BD,Natal (RN),3,242.88,728.64
24603,240,Hotel K,Salvador (BH),1,263.41,263.41
24605,240,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
24607,240,Hotel AF,Sao Paulo (SP),4,139.1,556.4
24608,240,Hotel BP,Brasilia (DF),1,247.62,247.62
24609,240,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
24612,240,Hotel A,Florianopolis (SC),3,313.02,939.06
24614,240,Hotel A,Florianopolis (SC),1,313.02,313.02
24618,240,Hotel BP,Brasilia (DF),3,247.62,742.86
24620,240,Hotel A,Florianopolis (SC),2,313.02,626.04
24625,240,Hotel Z,Aracaju (SE),4,208.04,832.16
24631,240,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
24640,240,Hotel K,Salvador (BH),1,263.41,263.41
24641,240,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
24643,240,Hotel BW,Campo Grande (MS),4,60.39,241.56
24656,240,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
24664,240,Hotel K,Salvador (BH),2,263.41,526.82
24665,240,Hotel Z,Aracaju (SE),3,208.04,624.12
24666,240,Hotel Z,Aracaju (SE),2,208.04,416.08
24668,240,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
24673,240,Hotel AF,Sao Paulo (SP),3,139.1,417.3
24679,240,Hotel BW,Campo Grande (MS),3,60.39,181.17
24688,240,Hotel BD,Natal (RN),3,242.88,728.64
24693,241,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
24698,241,Hotel BD,Natal (RN),1,242.88,242.88
24700,241,Hotel K,Salvador (BH),1,263.41,263.41
24701,241,Hotel BW,Campo Grande (MS),3,60.39,181.17
24702,241,Hotel AF,Sao Paulo (SP),1,139.1,139.1
24703,241,Hotel BD,Natal (RN),1,242.88,242.88
24705,241,Hotel BP,Brasilia (DF),3,247.62,742.86
24707,241,Hotel BW,Campo Grande (MS),1,60.39,60.39
24709,241,Hotel Z,Aracaju (SE),4,208.04,832.16
24711,241,Hotel K,Salvador (BH),2,263.41,526.82
24712,241,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
24713,241,Hotel A,Florianopolis (SC),2,313.02,626.04
24717,241,Hotel AF,Sao Paulo (SP),1,139.1,139.1
24720,241,Hotel Z,Aracaju (SE),1,208.04,208.04
24723,241,Hotel BD,Natal (RN),1,242.88,242.88
24725,241,Hotel AF,Sao Paulo (SP),2,139.1,278.2
24726,241,Hotel BD,Natal (RN),2,242.88,485.76
24734,241,Hotel A,Florianopolis (SC),4,313.02,1252.08
24737,241,Hotel AF,Sao Paulo (SP),1,139.1,139.1
24738,241,Hotel A,Florianopolis (SC),4,313.02,1252.08
24742,241,Hotel AF,Sao Paulo (SP),2,139.1,278.2
24747,241,Hotel K,Salvador (BH),1,263.41,263.41
24748,241,Hotel A,Florianopolis (SC),4,313.02,1252.08
24755,241,Hotel BD,Natal (RN),4,242.88,971.52
24757,241,Hotel BW,Campo Grande (MS),4,60.39,241.56
24758,241,Hotel BD,Natal (RN),1,242.88,242.88
24761,241,Hotel Z,Aracaju (SE),4,208.04,832.16
24762,241,Hotel BW,Campo Grande (MS),4,60.39,241.56
24763,241,Hotel AU,Recife (PE),2,312.83,625.66
24765,241,Hotel BD,Natal (RN),2,242.88,485.76
24777,241,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
24780,241,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
24783,241,Hotel A,Florianopolis (SC),4,313.02,1252.08
24786,241,Hotel BW,Campo Grande (MS),3,60.39,181.17
24789,241,Hotel AU,Recife (PE),2,312.83,625.66
24790,241,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
24796,241,Hotel K,Salvador (BH),1,263.41,263.41
24802,241,Hotel BD,Natal (RN),4,242.88,971.52
24803,241,Hotel A,Florianopolis (SC),1,313.02,313.02
24806,241,Hotel BW,Campo Grande (MS),1,60.39,60.39
24808,241,Hotel A,Florianopolis (SC),3,313.02,939.06
24813,241,Hotel A,Florianopolis (SC),2,313.02,626.04
24815,241,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
24821,241,Hotel BD,Natal (RN),2,242.88,485.76
24825,241,Hotel A,Florianopolis (SC),1,313.02,313.02
24826,241,Hotel A,Florianopolis (SC),4,313.02,1252.08
24828,241,Hotel AF,Sao Paulo (SP),1,139.1,139.1
24830,241,Hotel BD,Natal (RN),2,242.88,485.76
24832,241,Hotel Z,Aracaju (SE),1,208.04,208.04
24839,241,Hotel K,Salvador (BH),1,263.41,263.41
24842,241,Hotel K,Salvador (BH),2,263.41,526.82
24848,241,Hotel BP,Brasilia (DF),4,247.62,990.48
24852,241,Hotel K,Salvador (BH),1,263.41,263.41
24860,241,Hotel K,Salvador (BH),2,263.41,526.82
24862,241,Hotel Z,Aracaju (SE),2,208.04,416.08
24865,241,Hotel AF,Sao Paulo (SP),4,139.1,556.4
24866,241,Hotel K,Salvador (BH),1,263.41,263.41
24869,241,Hotel Z,Aracaju (SE),2,208.04,416.08
24871,241,Hotel Z,Aracaju (SE),1,208.04,208.04
24873,241,Hotel AF,Sao Paulo (SP),4,139.1,556.4
24878,241,Hotel BW,Campo Grande (MS),2,60.39,120.78
24882,241,Hotel Z,Aracaju (SE),1,208.04,208.04
24884,241,Hotel A,Florianopolis (SC),1,313.02,313.02
24886,241,Hotel BW,Campo Grande (MS),4,60.39,241.56
24891,242,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
24895,242,Hotel BP,Brasilia (DF),2,247.62,495.24
24896,242,Hotel BD,Natal (RN),4,242.88,971.52
24898,242,Hotel Z,Aracaju (SE),2,208.04,416.08
24899,242,Hotel BP,Brasilia (DF),2,247.62,495.24
24900,242,Hotel K,Salvador (BH),2,263.41,526.82
24903,242,Hotel Z,Aracaju (SE),4,208.04,832.16
24904,242,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
24905,242,Hotel K,Salvador (BH),4,263.41,1053.64
24908,242,Hotel AF,Sao Paulo (SP),4,139.1,556.4
24913,242,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
24915,242,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
24917,242,Hotel BD,Natal (RN),2,242.88,485.76
24920,242,Hotel A,Florianopolis (SC),2,313.02,626.04
24927,242,Hotel A,Florianopolis (SC),4,313.02,1252.08
24928,242,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
24929,242,Hotel K,Salvador (BH),4,263.41,1053.64
24937,242,Hotel K,Salvador (BH),4,263.41,1053.64
24938,242,Hotel BW,Campo Grande (MS),4,60.39,241.56
24939,242,Hotel AU,Recife (PE),2,312.83,625.66
24940,242,Hotel AF,Sao Paulo (SP),2,139.1,278.2
24950,242,Hotel K,Salvador (BH),4,263.41,1053.64
24951,242,Hotel Z,Aracaju (SE),3,208.04,624.12
24956,242,Hotel BP,Brasilia (DF),4,247.62,990.48
24957,242,Hotel AU,Recife (PE),3,312.83,938.49
24960,242,Hotel AF,Sao Paulo (SP),2,139.1,278.2
24961,242,Hotel A,Florianopolis (SC),4,313.02,1252.08
24962,242,Hotel BD,Natal (RN),2,242.88,485.76
24964,242,Hotel K,Salvador (BH),1,263.41,263.41
24965,242,Hotel BD,Natal (RN),3,242.88,728.64
24966,242,Hotel AU,Recife (PE),3,312.83,938.49
24968,242,Hotel BW,Campo Grande (MS),1,60.39,60.39
24973,242,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
24976,242,Hotel AU,Recife (PE),4,312.83,1251.32
24977,242,Hotel BD,Natal (RN),4,242.88,971.52
24978,242,Hotel A,Florianopolis (SC),1,313.02,313.02
24979,242,Hotel BD,Natal (RN),4,242.88,971.52
24983,242,Hotel A,Florianopolis (SC),1,313.02,313.02
24984,242,Hotel BD,Natal (RN),2,242.88,485.76
24986,242,Hotel K,Salvador (BH),3,263.41,790.23
24987,242,Hotel A,Florianopolis (SC),4,313.02,1252.08
24988,242,Hotel Z,Aracaju (SE),3,208.04,624.12
24990,242,Hotel AF,Sao Paulo (SP),2,139.1,278.2
24992,242,Hotel BW,Campo Grande (MS),2,60.39,120.78
24994,242,Hotel A,Florianopolis (SC),2,313.02,626.04
24995,242,Hotel A,Florianopolis (SC),3,313.02,939.06
25000,242,Hotel BP,Brasilia (DF),4,247.62,990.48
25001,242,Hotel AF,Sao Paulo (SP),2,139.1,278.2
25003,242,Hotel A,Florianopolis (SC),4,313.02,1252.08
25006,242,Hotel BD,Natal (RN),1,242.88,242.88
25010,242,Hotel Z,Aracaju (SE),4,208.04,832.16
25011,242,Hotel AF,Sao Paulo (SP),1,139.1,139.1
25013,242,Hotel Z,Aracaju (SE),3,208.04,624.12
25017,242,Hotel AF,Sao Paulo (SP),2,139.1,278.2
25018,242,Hotel A,Florianopolis (SC),3,313.02,939.06
25024,242,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
25027,242,Hotel AF,Sao Paulo (SP),3,139.1,417.3
25028,242,Hotel BP,Brasilia (DF),3,247.62,742.86
25032,242,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
25033,242,Hotel AU,Recife (PE),2,312.83,625.66
25040,242,Hotel A,Florianopolis (SC),1,313.02,313.02
25049,242,Hotel BW,Campo Grande (MS),3,60.39,181.17
25055,243,Hotel BD,Natal (RN),2,242.88,485.76
25057,243,Hotel Z,Aracaju (SE),4,208.04,832.16
25059,243,Hotel BD,Natal (RN),3,242.88,728.64
25060,243,Hotel Z,Aracaju (SE),1,208.04,208.04
25063,243,Hotel AF,Sao Paulo (SP),1,139.1,139.1
25066,243,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
25067,243,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
25071,243,Hotel AF,Sao Paulo (SP),1,139.1,139.1
25074,243,Hotel K,Salvador (BH),2,263.41,526.82
25076,243,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
25081,243,Hotel BD,Natal (RN),4,242.88,971.52
25082,243,Hotel AF,Sao Paulo (SP),4,139.1,556.4
25090,243,Hotel AF,Sao Paulo (SP),3,139.1,417.3
25092,243,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
25093,243,Hotel BD,Natal (RN),2,242.88,485.76
25101,243,Hotel K,Salvador (BH),1,263.41,263.41
25102,243,Hotel BP,Brasilia (DF),1,247.62,247.62
25104,243,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
25106,243,Hotel BW,Campo Grande (MS),3,60.39,181.17
25111,243,Hotel A,Florianopolis (SC),3,313.02,939.06
25117,243,Hotel A,Florianopolis (SC),3,313.02,939.06
25120,243,Hotel AU,Recife (PE),3,312.83,938.49
25122,243,Hotel A,Florianopolis (SC),2,313.02,626.04
25129,243,Hotel BD,Natal (RN),1,242.88,242.88
25135,243,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
25137,243,Hotel BW,Campo Grande (MS),3,60.39,181.17
25140,243,Hotel BD,Natal (RN),4,242.88,971.52
25141,243,Hotel A,Florianopolis (SC),2,313.02,626.04
25144,243,Hotel BW,Campo Grande (MS),4,60.39,241.56
25146,243,Hotel BD,Natal (RN),4,242.88,971.52
25152,243,Hotel A,Florianopolis (SC),3,313.02,939.06
25153,243,Hotel BD,Natal (RN),1,242.88,242.88
25158,243,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
25162,243,Hotel AF,Sao Paulo (SP),4,139.1,556.4
25165,243,Hotel AU,Recife (PE),2,312.83,625.66
25177,243,Hotel BW,Campo Grande (MS),2,60.39,120.78
25178,243,Hotel AF,Sao Paulo (SP),1,139.1,139.1
25181,243,Hotel K,Salvador (BH),4,263.41,1053.64
25183,243,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
25189,243,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
25190,243,Hotel A,Florianopolis (SC),1,313.02,313.02
25199,243,Hotel A,Florianopolis (SC),4,313.02,1252.08
25201,243,Hotel BD,Natal (RN),2,242.88,485.76
25202,243,Hotel BD,Natal (RN),4,242.88,971.52
25203,243,Hotel AU,Recife (PE),2,312.83,625.66
25204,243,Hotel Z,Aracaju (SE),3,208.04,624.12
25210,243,Hotel BD,Natal (RN),4,242.88,971.52
25211,243,Hotel Z,Aracaju (SE),1,208.04,208.04
25213,243,Hotel BD,Natal (RN),3,242.88,728.64
25217,243,Hotel Z,Aracaju (SE),4,208.04,832.16
25222,244,Hotel A,Florianopolis (SC),2,313.02,626.04
25223,244,Hotel K,Salvador (BH),1,263.41,263.41
25231,244,Hotel A,Florianopolis (SC),4,313.02,1252.08
25237,244,Hotel BW,Campo Grande (MS),4,60.39,241.56
25238,244,Hotel BD,Natal (RN),4,242.88,971.52
25240,244,Hotel AF,Sao Paulo (SP),1,139.1,139.1
25241,244,Hotel AU,Recife (PE),3,312.83,938.49
25247,244,Hotel A,Florianopolis (SC),2,313.02,626.04
25249,244,Hotel AF,Sao Paulo (SP),4,139.1,556.4
25250,244,Hotel BD,Natal (RN),3,242.88,728.64
25251,244,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
25258,244,Hotel AF,Sao Paulo (SP),3,139.1,417.3
25259,244,Hotel A,Florianopolis (SC),3,313.02,939.06
25263,244,Hotel BW,Campo Grande (MS),3,60.39,181.17
25270,244,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
25272,244,Hotel K,Salvador (BH),4,263.41,1053.64
25276,244,Hotel BP,Brasilia (DF),4,247.62,990.48
25282,244,Hotel AF,Sao Paulo (SP),2,139.1,278.2
25285,244,Hotel BD,Natal (RN),3,242.88,728.64
25287,244,Hotel BW,Campo Grande (MS),1,60.39,60.39
25289,244,Hotel BW,Campo Grande (MS),4,60.39,241.56
25290,244,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
25292,244,Hotel AF,Sao Paulo (SP),1,139.1,139.1
25293,244,Hotel Z,Aracaju (SE),4,208.04,832.16
25295,244,Hotel AU,Recife (PE),4,312.83,1251.32
25299,244,Hotel BP,Brasilia (DF),2,247.62,495.24
25302,244,Hotel K,Salvador (BH),2,263.41,526.82
25305,244,Hotel AU,Recife (PE),3,312.83,938.49
25308,244,Hotel BW,Campo Grande (MS),4,60.39,241.56
25313,244,Hotel A,Florianopolis (SC),2,313.02,626.04
25318,244,Hotel Z,Aracaju (SE),1,208.04,208.04
25320,244,Hotel A,Florianopolis (SC),1,313.02,313.02
25324,244,Hotel Z,Aracaju (SE),4,208.04,832.16
25327,244,Hotel AF,Sao Paulo (SP),3,139.1,417.3
25330,244,Hotel AU,Recife (PE),4,312.83,1251.32
25331,244,Hotel BD,Natal (RN),1,242.88,242.88
25336,245,Hotel Z,Aracaju (SE),1,208.04,208.04
25338,245,Hotel Z,Aracaju (SE),1,208.04,208.04
25342,245,Hotel A,Florianopolis (SC),2,313.02,626.04
25343,245,Hotel AF,Sao Paulo (SP),2,139.1,278.2
25348,245,Hotel BD,Natal (RN),4,242.88,971.52
25351,245,Hotel Z,Aracaju (SE),4,208.04,832.16
25353,245,Hotel AF,Sao Paulo (SP),4,139.1,556.4
25358,245,Hotel BD,Natal (RN),2,242.88,485.76
25360,245,Hotel BD,Natal (RN),4,242.88,971.52
25362,245,Hotel Z,Aracaju (SE),3,208.04,624.12
25363,245,Hotel K,Salvador (BH),3,263.41,790.23
25365,245,Hotel K,Salvador (BH),3,263.41,790.23
25367,245,Hotel BP,Brasilia (DF),1,247.62,247.62
25369,245,Hotel Z,Aracaju (SE),2,208.04,416.08
25372,245,Hotel AF,Sao Paulo (SP),3,139.1,417.3
25374,245,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
25376,245,Hotel AF,Sao Paulo (SP),3,139.1,417.3
25377,245,Hotel BD,Natal (RN),1,242.88,242.88
25379,245,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
25382,245,Hotel K,Salvador (BH),3,263.41,790.23
25385,245,Hotel AU,Recife (PE),2,312.83,625.66
25386,245,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
25387,245,Hotel AU,Recife (PE),4,312.83,1251.32
25388,245,Hotel AF,Sao Paulo (SP),4,139.1,556.4
25405,245,Hotel BP,Brasilia (DF),4,247.62,990.48
25410,245,Hotel AF,Sao Paulo (SP),3,139.1,417.3
25412,245,Hotel K,Salvador (BH),4,263.41,1053.64
25414,245,Hotel BD,Natal (RN),4,242.88,971.52
25417,245,Hotel AF,Sao Paulo (SP),4,139.1,556.4
25418,245,Hotel AF,Sao Paulo (SP),4,139.1,556.4
25422,245,Hotel BP,Brasilia (DF),2,247.62,495.24
25424,245,Hotel AF,Sao Paulo (SP),3,139.1,417.3
25427,245,Hotel A,Florianopolis (SC),3,313.02,939.06
25428,245,Hotel A,Florianopolis (SC),2,313.02,626.04
25434,245,Hotel AF,Sao Paulo (SP),3,139.1,417.3
25436,245,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
25438,245,Hotel K,Salvador (BH),3,263.41,790.23
25439,245,Hotel A,Florianopolis (SC),2,313.02,626.04
25440,245,Hotel BP,Brasilia (DF),1,247.62,247.62
25441,245,Hotel AU,Recife (PE),2,312.83,625.66
25443,245,Hotel AF,Sao Paulo (SP),3,139.1,417.3
25446,245,Hotel BP,Brasilia (DF),1,247.62,247.62
25451,245,Hotel AU,Recife (PE),3,312.83,938.49
25454,245,Hotel A,Florianopolis (SC),4,313.02,1252.08
25456,245,Hotel BP,Brasilia (DF),2,247.62,495.24
25458,245,Hotel AF,Sao Paulo (SP),3,139.1,417.3
25461,245,Hotel K,Salvador (BH),2,263.41,526.82
25465,245,Hotel AF,Sao Paulo (SP),1,139.1,139.1
25466,245,Hotel Z,Aracaju (SE),1,208.04,208.04
25473,246,Hotel BW,Campo Grande (MS),3,60.39,181.17
25477,246,Hotel Z,Aracaju (SE),4,208.04,832.16
25479,246,Hotel BW,Campo Grande (MS),2,60.39,120.78
25480,246,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
25486,246,Hotel K,Salvador (BH),4,263.41,1053.64
25487,246,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
